name,artists,energy,ranking,danceability,valence,instrumentalness,loudness,duration_ms,tempo,country
First Person Shooter (feat. J. Cole),"Drake, J. Cole",0.6602796478508545,0.01575432205285532,0.34718498659517427,0.222292858656495,0.0,-0.1146199770336547,0.6757528977997133,1.5958278852546053,CA
Loading,Central Cee,0.6861729673744175,0.015451290748068613,0.8498659517426272,0.6980292434837889,0.0,0.28141193816407556,-0.5988976996128172,0.8489683681515648,US
King tonka,Yeat,0.6167788710512687,0.015158531690901755,0.5053619302949062,0.4892985802076711,0.0,0.21529301256307756,-1.4208307109032792,1.1831890294493386,US
Split,Yeat,0.5908855515277058,0.014875531268973896,0.6662198391420912,0.59631277813096,0.007943722943722944,-1.120036629213779,-1.11256928334968,0.7404008249220396,US
fukumean,Gunna,0.6261004660797514,0.014601809549404265,0.8458445040214477,0.19580419580419584,0.0,0.08816744942301433,-1.429499112369943,0.32574454057775315,US
Big tonka (feat. Lil Uzi Vert),"Yeat, Lil Uzi Vert",0.6758156395649922,0.01433691756272415,0.6045576407506703,0.18308963763509217,0.0,-0.025666164756023634,-0.0067805224444995905,0.32877068338628385,US
MELTDOWN (feat. Drake),"Travis Scott, Drake",0.783531848783014,0.014080434845462175,0.45710455764075075,0.3833439287984743,0.0,0.5898533179006897,0.6532219336700913,-0.347702993577587,US
Mask Off,Future,0.43138270326255823,0.01383196721311486,0.8270777479892761,0.2604365331638059,0.0237012987012987,-0.609830280632882,-0.06113002370374041,1.0752192428239684,US
Superhero (Heroes & Villains) [with Future & Chris Brown],"Metro Boomin, Future, Chris Brown",0.5857068876229933,0.013591144738685834,0.660857908847185,0.5274422547149821,3.2142857142857143e-06,0.5820144762057261,-0.4383602803869458,-0.1740173402830028,US
September,"Earth, Wind & Fire",0.8436043500776799,0.013357619914996954,0.6447721179624665,1.0,0.0014177489177489178,-0.08803607911160416,0.11934127905360577,0.1735034054572044,US
The Hills,The Weeknd,0.5660279647850854,0.013131065981567769,0.49463806970509383,0.10786183513456242,0.0,-0.019531419081704,0.5864718025349288,-0.3092971317606729,CA
Out thë way,Yeat,0.6209218021750388,0.012911175399121344,0.7332439678284184,0.8219961856325494,2.121212121212121e-06,-0.17153678412317383,-0.996044640618238,0.2559938168304974,US
comethru (with Bea Miller),"Jeremy Zucker, Bea Miller",0.18073537027446918,0.012697658456746197,0.7252010723860591,0.593134138588684,0.0,-1.6483063956135053,-0.45624745801656935,-1.0183485436509532,US
love nwantiti (ah ah ah),CKay,0.7472812014500259,0.012490241998438734,0.6849865951742627,0.5274422547149821,0.0014826839826839826,1.0908575479701075,-1.0724435281478417,-1.0564181673780306,NG
Already Rich,Yeat,0.8083894355256344,0.01228866825726671,0.7386058981233246,0.20004238186056367,0.004025974025974026,-0.22061474951772878,-1.0771217130663586,0.5404512408324257,US
Ric Flair Drip (with Metro Boomin),"Offset, Metro Boomin",0.42516830657690313,0.012092693786682984,0.8900804289544237,0.31553295189658825,5.4653679653679656e-05,-0.4343083905065212,-0.6080648781479994,-0.794824933485004,US
MY EYES,Travis Scott,0.6250647332988089,0.011902088479676776,0.32037533512064353,0.2593769866497139,2.803030303030303e-06,-0.234588336887012,0.7412130882404319,-0.08364401369242394,US
See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",0.5608493008803729,0.011716634667454429,0.4584450402144773,0.6196228014409833,8.106060606060606e-06,-0.7553600807959033,-0.4775744774980436,-1.5961550211416047,GB
MAFIA,Travis Scott,0.4914552045572242,0.011536126290224713,0.8565683646112601,0.3706293706293706,7.261904761904762e-06,-0.19505330920806485,0.5477219840738308,-0.4224225690968747,US
Gët Busy,Yeat,0.5825996892801657,0.011360368133448429,0.5951742627345845,0.08455181182453911,0.0,-0.9935927044819733,-0.8663970012219857,0.6956437991859861,US
MIDDLE CHILD,J. Cole,0.358881408596582,0.011189175123601292,0.8324396782841823,0.4532739987285442,0.0,-1.6043407182808826,0.09355966437398489,0.1009506976279758,GB
Creepin' (with The Weeknd & 21 Savage),"Metro Boomin, The Weeknd, 21 Savage",0.6167788710512687,0.011022371678109488,0.6702412868632708,0.12905276541640176,0.0,0.33662464923295016,0.22988059696282753,-0.8730189692659387,US
ONE CALL,Rich Amiri,0.5401346452615226,0.010859791104655292,0.5817694369973191,0.23076923076923078,2.8896103896103894e-05,-0.09383000558179452,-1.4921214332828845,1.3757040157747829,US
